S.no,CPU,Single-Core Score,Multi-Core Score,Cores,Threads,Clock Speed,Max TDP
335,Core i5 11300HLaptop,1394,5349,4(4P),8,2.6-3.1-4.4 GHz,
336,Ryzen 5 7520ULaptop,1171,5149,4(4P),8,2.8-4.3 GHz,
337,Core i3 1125G4Laptop,1150,5112,4(4P),8,0.9-2.0-3.7 GHz,
338,Ryzen 3 7330ULaptop,1390,5089,4(4P),8,2.3-4.3 GHz,
339,Core i5 1135G7Laptop,1344,5048,4(4P),8,0.9-2.4-4.2 GHz,
340,Core i7 8850HLaptop,976,5023,6(6P),12,2.6-4.3 GHz,
341,Core i5 10300HLaptop,1121,4863,4(4P),8,2.5-4.5 GHz,
342,Core i7 6700Desktop,1063,4840,4(4P),8,3.4-4 GHz,
343,Ryzen 5 3400GDesktop,1068,4810,4(4P),8,3.7-4.2 GHz,
344,Ryzen 5 2400GDesktop,1021,4800,4(4P),8,3.6-3.9 GHz,
345,Core i5 1145G7Laptop,1388,4769,4(4P),8,1.1-2.6-4.4 GHz,
346,Core i7 10810ULaptop,1155,4754,6(6P),12,0.8-1.6-4.9 GHz,
347,Core i5 9300HLaptop,1126,4742,4(4P),8,2.4-4.1 GHz,
348,Ryzen 3 5300ULaptop,1119,4637,4(4P),8,2.6-3.8 GHz,
349,Processor 300Desktop,1470,4588,2(2P),4,3.9-0 GHz,
350,Core i7 1068NG7Laptop,1234,4566,4(4P),8,2.3-4.1 GHz,
351,Core i7 1065G7Laptop,1153,4475,4(4P),8,1.3-3.9 GHz,
352,Ryzen 3 7320ULaptop,1115,4445,4(4P),8,2.4-4.1 GHz,
353,Core i5 8300HLaptop,1077,4435,4(4P),8,2.3-4 GHz,
354,Core i3 N305Laptop,1018,4411,8(8E + 0P),8,0-0 GHz,
355,Core i3 1305ULaptop,1598,4401,5(4E + 1P),6,1.6-4.5 GHz,55 W
356,Core i7 10510ULaptop,1207,4239,4(4P),8,1.8-4.9 GHz,
357,Core i5 1035G1Laptop,1078,4225,4(4P),8,1.0-3.6 GHz,
358,Core i5 1155G7Laptop,1421,4201,4(4P),8,1.0-2.5-4.5 GHz,
359,Core i3 9100FDesktop,1057,4155,4(4P),4,3.6-4.2 GHz,
360,Ryzen 5 3550HLaptop,936,4110,4(4P),8,2.1-3.7 GHz,
361,Processor U300Laptop,1570,4087,5(4E + 1P),6,1.2-4.4 GHz,55 W
362,Ryzen 7 3750HLaptop,904,4081,4(4P),8,2.3-4 GHz,
363,Core i7 10610ULaptop,1207,4048,4(4P),8,0.8-2.3-4.9 GHz,
364,Core i5 6600KDesktop,1041,3965,4(4P),4,3.5-3.9 GHz,
365,Ryzen 7 3700ULaptop,928,3807,4(4P),8,2.3-4 GHz,
366,Core i7 8665ULaptop,1256,3771,4(4P),8,1.9-4.8 GHz,
367,Core i7 8650ULaptop,907,3689,4(4P),8,1.9-4.2 GHz,
368,Core i5 8365ULaptop,1158,3676,4(4P),8,1.6-4.1 GHz,
369,Core i3 8100Desktop,936,3607,4(4P),4,3.6-0 GHz,
370,Ryzen 3 2200GDesktop,942,3587,4(4P),4,3.5-3.7 GHz,
371,Core i7 1180G7Laptop,1280,3434,4(4P),8,0.9-2.2-4.2 GHz,
372,Core i5 7400Desktop,928,3380,4(4P),4,3.0-3.5 GHz,
373,Core i5 6500Desktop,966,3361,4(4P),4,3.2-3.6 GHz,
374,Ryzen 3 3200GDesktop,945,3317,4(4P),4,3.6-4 GHz,
375,Core i5 1130G7Laptop,1226,3240,4(4P),8,0.8-1.8-4 GHz,
376,Core i5 1035G7Laptop,1155,3238,4(4P),8,1.2-3.7 GHz,
377,Core i7 1160G7Laptop,1172,3233,4(4P),8,0.9-2.1-4.4 GHz,
378,Core i3 1115G4Laptop,1327,3143,2(2P),4,1.7-3.0-4.1 GHz,
379,Core i7 8550ULaptop,979,3111,4(4P),8,1.8-4 GHz,
380,Core i5 10310ULaptop,1051,3094,4(4P),8,0.8-2.2-4.4 GHz,
381,Core i5 8250ULaptop,900,3091,4(4P),8,1.6-3.4 GHz,
382,Core i7 8565ULaptop,1085,3075,4(4P),8,1.8-4.6 GHz,
383,Processor N200Laptop,930,3010,4(4E + 0P),4,0-0 GHz,
384,Processor N97Laptop,973,3003,4(4E + 0P),4,0-0 GHz,
385,Processor N100Laptop,930,2949,4(4E + 0P),4,0-0 GHz,
386,Core i5 10210ULaptop,880,2900,4(4P),8,1.6-4.2 GHz,
387,Processor N95Laptop,914,2769,4(4E + 0P),4,0-0 GHz,
388,Ryzen 5 3500ULaptop,765,2760,4(4P),8,2.1-3.7 GHz,
389,Core i5 8265ULaptop,828,2622,4(4P),8,1.6-3.9 GHz,
390,Core i3 N300Laptop,513,2546,8(8E + 0P),8,0-0 GHz,
391,Core i5 8350ULaptop,802,2486,4(4P),8,1.7-3.6 GHz,
392,Core i3 1005G1Laptop,1101,2460,2(2P),4,1.2-3.4 GHz,
393,Pentium Silver N6005Laptop,796,2429,4(4P),4,2.0-0 GHz,
394,Core i3 10110ULaptop,1034,2374,2(2P),4,2.1-4.1 GHz,
395,Celeron N5095Laptop,615,2176,4(4P),4,2.0-0 GHz,
396,Core i5 7200ULaptop,799,2050,2(2P),4,2.5-3.1 GHz,
397,Pentium Silver N6000Laptop,755,2032,4(4P),4,1.1-0 GHz,
398,Ryzen 3 3250ULaptop,836,1972,2(2P),4,2.6-3.5 GHz,
399,Celeron N5100Laptop,690,1796,4(4P),4,1.1-0 GHz,
400,Ryzen 3 3200ULaptop,765,1786,2(2P),4,2.6-3.5 GHz,
